"날짜","종가","시가","고가","저가","거래량","변동 %"
"2014- 08- 28","4,557.69","4,552.55","4,565.96","4,546.62","321.03M","-0.26%"
"2014- 08- 27","4,569.62","4,574.35","4,575.81","4,561.84","335.94M","-0.02%"
"2014- 08- 26","4,570.64","4,563.81","4,575.59","4,556.78","342.63M","0.29%"
"2014- 08- 25","4,557.35","4,563.72","4,571.14","4,547.78","334.63M","0.41%"
"2014- 08- 22","4,538.55","4,534.87","4,547.24","4,521.77","329.97M","0.14%"
"2014- 08- 21","4,532.10","4,526.72","4,534.00","4,513.81","349.36M","0.12%"
"2014- 08- 20","4,526.48","4,517.75","4,533.01","4,515.73","356.53M","-0.02%"
"2014- 08- 19","4,527.51","4,514.26","4,528.91","4,513.92","373.14M","0.43%"
"2014- 08- 18","4,508.31","4,490.53","4,509.15","4,486.44","395.42M","0.97%"
"2014- 08- 15","4,464.93","4,479.64","4,482.47","4,427.13","507.50M","0.27%"
"2014- 08- 14","4,453.00","4,438.13","4,453.00","4,433.94","334.04M","0.43%"
"2014- 08- 13","4,434.12","4,407.86","4,434.31","4,403.64","372.80M","1.02%"
"2014- 08- 12","4,389.25","4,394.69","4,407.08","4,371.84","366.69M","-0.27%"
"2014- 08- 11","4,401.33","4,387.38","4,415.78","4,384.15","366.75M","0.70%"
"2014- 08- 08","4,370.90","4,340.88","4,373.11","4,327.87","435.75M","0.83%"
"2014- 08- 07","4,334.97","4,373.24","4,379.70","4,321.89","456.47M","-0.46%"
"2014- 08- 06","4,355.05","4,326.28","4,378.99","4,325.04","444.29M","0.05%"
"2014- 08- 05","4,352.84","4,364.59","4,383.02","4,333.58","467.51M","-0.71%"
"2014- 08- 04","4,383.89","4,365.62","4,395.38","4,343.03","435.81M","0.72%"
"2014- 08- 01","4,352.64","4,363.39","4,385.05","4,324.02","504.65M","-0.39%"
"2014- 07- 31","4,369.77","4,421.29","4,430.80","4,367.15","574.24M","-2.09%"
"2014- 07- 30","4,462.90","4,468.44","4,476.06","4,444.51","457.16M","0.45%"
